query,publishedAt,title,channelTitle,url,description
бусификация,2025-11-10T16:30:30Z,"Где пропадал Жан Новосельцев и канал ДНК? Аресты,суды и бусификация",Вадим Шегалов.Оккультные игры элиты ,https://www.youtube.com/watch?v=dC452tbzptk,Жан Новосельцев official Моно 4441111124545561 https://www.youtube.com/channel/UC-eATckeBKeBBFxZ3pzVcug ...
тцк,2025-11-16T21:21:55Z,Генерал Ивашов | Аналог ТЦК в России ,Генерал Ивашов,https://www.youtube.com/watch?v=KMvZzmXNVRI,"Внимание, ценители геополитики и истории! Вы ждали этого момента! Электронная версия новой книги Леонида ..."
тцк,2025-11-16T19:49:43Z,САМВЕЛ АДАМЯН ТРОИХ ИЗ ТЕАТРА ЗАБРАЛО ТЦК. ПОЧЕМУ У САМВЕЛА БРОНЬ? УСТРОИЛ ИСТЕРИКУ ИЗ ЗА ФОТО,Скрытая Камера,https://www.youtube.com/watch?v=AJMQeLH5jvc,ВИДЕО НЕСЕТ РАЗВЛЕКАТЕЛЬНЫЙ ХАРАКТЕР ВСЕ ИМЕНА И СОБЫТИЯ ВЫДУМАНЫ. ЛЮБЫЕ СОВПАДЕНИЯ С ...
тцк,2025-11-16T18:40:00Z,АНДЖЕЛІНА ДЖОЛІ – в ТЦК! За що затримали охоронця? | ТАРАС ЧОРНОВІЛ @SerhiyMamaiev,5 канал,https://www.youtube.com/watch?v=R9FX911f_3U,"Відео надано каналом @SerhiyMamaiev Про програму ""Врятуй Кінцівку"": https://houp.org/uk/medical_billion/ Задонатити на ..."
тцк,2025-11-16T18:06:33Z,Суд и ТЦК,Адвокат Олег Лукьянчиков,https://www.youtube.com/watch?v=Dcpt9aQKIos,Суд и ТЦК. ☎️0️⃣6️⃣6️⃣5️⃣5️⃣5️⃣1️⃣0️⃣2️⃣0️⃣   консультация адвоката. #лукьянчиков ...
тцк,2025-11-16T18:01:15Z,Соц Опрос: ТЦК на Улицах Украины,Vladys Vox,https://www.youtube.com/watch?v=0NjXC3YXdbE,
тцк,2025-11-16T17:57:44Z,Львівське ТЦК хотіли мене мобілізувати.,Dnepr Kremea,https://www.youtube.com/watch?v=ssep_rjl3eE,Беспредел Львівського ТЦК з поліцією 13.11.2025.
тцк,2025-11-16T17:01:22Z,БЕСПРЕДЕЛ ТЦК И ПОЛИЦИИ В УКРАИНЕ 🔥 БЕЗЗАКОНИЕ ПО ВСЕЙ СТРАНЕ ,dmpro,https://www.youtube.com/watch?v=CCsAU2ny-rk,ВСЕМ ПРИВЕТ СПАСИБО ЗА ПОМОЩЬ КАРТА : 4400 0055 5351 9510 ССЫЛКА НА ТГ КАНАЛ ...
тцк,2025-11-16T17:00:06Z,Чоловіка викрав ТЦК?! Мер Дубна побив свою підлеглу?! А учні три місяці без харчування,ITV media group,https://www.youtube.com/watch?v=y2NjIKcJR_A,Цього разу у програмі «НОВИНИ.ПІДСУМКИ» ми розкажемо       - як на Рівненщині чоловіка витягли з будинку та повезли ...
тцк,2025-11-16T16:27:20Z,Самвел Адамян/🎭ДНЕПРОВСКИЙ «ФУРОР» САМВЕЛА! ГАСТРОЛИ В КИЕВЕ! ТЦК ЗАБИРАЮТ РАБОТНИКОВ ТЕАТРА!,Tasty with OK,https://www.youtube.com/watch?v=7ZwtpsLqyIg,Самвел Адамян / ДНЕПРОВСКИЙ «ФУРОР» САМВЕЛА! ГАСТРОЛИ В КИЕВЕ! ТЦК ЗАБИРАЮТ РАБОТНИКОВ ТЕАТРА!
тцк,2025-11-16T15:15:42Z,НОВЫЙ МАЙДАН И О ЧЕМ ГОВОРИТ КОЛОМОЙСКИЙ...НЕ ПРО ТЦК.,Алексей Сидоров мнение.,https://www.youtube.com/watch?v=zlgRRvkLWWk,НОВЫЙ МАЙДАН И О ЧЕМ ГОВОРИТ КОЛОМОЙСКИЙ...
тцк,2025-11-16T15:05:26Z,ВПО и ТЦК,Адвокат Олег Лукьянчиков,https://www.youtube.com/watch?v=zyCUiWMa5Ac,ВПО и ТЦК. ☎️0️⃣6️⃣6️⃣5️⃣5️⃣5️⃣1️⃣0️⃣2️⃣0️⃣   консультация адвоката. #лукьянчиков ...
тцк,2025-11-16T15:05:27Z,ТЦК: закон или желание начальника? ☎️0️⃣6️⃣6️⃣5️⃣5️⃣5️⃣1️⃣0️⃣2️⃣0️⃣👈 консультация адвоката,Адвокат Олег Лукьянчиков,https://www.youtube.com/watch?v=FauZrxYhFTU,ТЦК: закон или желание начальника? ☎️0️⃣6️⃣6️⃣5️⃣5️⃣5️⃣1️⃣0️⃣2️⃣0️⃣   консультация адвоката.
тцк,2025-11-16T15:05:27Z,Штраф ТЦК: обжаловать бесплатно,Адвокат Олег Лукьянчиков,https://www.youtube.com/watch?v=y6HvJpF0ul8,Штраф ТЦК: обжаловать бесплатно. ☎️0️⃣6️⃣6️⃣5️⃣5️⃣5️⃣1️⃣0️⃣2️⃣0️⃣   консультация адвоката.
тцк,2025-11-16T15:00:06Z,ЩО НЕ ТАК З МОБІЛІЗАЦІЄЮ? (чесний розбір),Миколай Олексійович,https://www.youtube.com/watch?v=G0W4lU4MrRY,"ЩО НЕ ТАК З МОБІЛІЗАЦІЄЮ? (чесний розбір) У цьому відео торкнемося важкої теми примусової мобілізації, зокрема ..."
тцк,2025-11-16T14:54:07Z,#тцк #новини,Посилання на повне відео в описі профілю,https://www.youtube.com/watch?v=LooNLeqn4Pw,
тцк,2025-11-16T14:37:18Z,#2022 #госпиталь#ранение#Буча#рассказ о тцк,Иван,https://www.youtube.com/watch?v=sjq-vQ7ZX20,
тцк,2025-11-16T14:00:15Z,❌ТЦК з УБД: Я Там Був і Тобі Потрібно На Фронт!,Пильний Дніпрянин,https://www.youtube.com/watch?v=BfNafNsvj9I,Існування в кармані посвідчення бойових дій НЕ є підставою порушувати Закон! ❌ТЦК з УБД: Я Там Був і Тобі Потрібно На ...
тцк,2025-11-16T13:24:08Z,"Як діяти при зустрічі з ТЦК:  рекомендації, поведінка, біг і підготовка ❗",Volya-Freedom ,https://www.youtube.com/watch?v=ot4ZkRg_4Vo,Друзі хто хоче підтримати мене і мій канал у цей важкий час - буду дуже вдячний всім !!!   Підтримка тут: ...
тцк,2025-11-16T13:00:57Z,🚨ТЦК🤝ПОЛІЦІЯ: Схема проста 👉 Звинуватили Затримали Відправили❗,Пильний Дніпрянин,https://www.youtube.com/watch?v=Wr26jqVHPKs,PoliceofDnipro ТЦК  ПОЛІЦІЯ: Схема проста Звинуватили Затримали Відправили❗ ...
тцк,2025-11-16T13:01:23Z,"‼️Казаров: Звертаюсь до ТЦК. Припиніть красти людей. Після виборів сядуть всі, хто порушив закон",Президент КАЗАРОВ,https://www.youtube.com/watch?v=mnmFB-_Eiu0,"Максим Казаров - політик, журналіст, медіаексперт Лідер суспільно-політичного руху ""Велична Україна"" Співпраця, ..."
тцк,2025-11-16T12:45:27Z,Статьи за остановку трамвая тцк,Статус Людина | Статус Человек,https://www.youtube.com/watch?v=tgaSVvN5vww,
тцк,2025-11-16T11:56:56Z,Штраф ТЦК и розыск в Резерв!!! Как убрать?,Адвокат Вера Тарасенко,https://www.youtube.com/watch?v=r_XqScQPjGY,"Если в Резерв+ Вы в розыске и у Вас есть штраф ТЦК, то эту запись нужно убирать. Потому что с такой информацией Вы ..."
тцк,2025-11-16T11:16:29Z,Самвел Адамян/ТЦК ЗАБРАЛО 3 ЧЕЛОВЕКА ИЗ ТЕАТРА !Меняется состав! С гастролями в Киев!Ожидайте фурор!,ВСЕ ПРО С@МВЕЛ@ АД@МЯН@.  ,https://www.youtube.com/watch?v=dEfCZpIwdOs,Тик ток эфир Самвел Адамян/с гастролями в Киев! 16.11.25#самвеладамян#самвелновоевидео#самвелтикток#колятикток.
тцк,2025-11-16T10:51:08Z,"Єновина! Безчинства в ТЦК, а Зеленський піариться? #блог #влада #політика",Блог Разумовського,https://www.youtube.com/watch?v=Ok8k2koTQW0,
тцк,2025-11-16T10:50:02Z,У ТЦК відверто ПРОКОМЕНТУВАЛИ скандали пов’язані із ЇХНЬОЮ роботою! Які МІФИ розвінчали,Подробиці,https://www.youtube.com/watch?v=ysDJ1pI6mwU,"Менше людей, які хочуть підписати контракт саме через ТЦК і більше тих, хто навіть боїться зайти всередину. Проте в ТЦК ..."
тцк,2025-11-16T10:36:07Z,#тцк #новини,Посилання на повне відео в описі профілю,https://www.youtube.com/watch?v=3OrLP7ou7jQ,
тцк,2025-11-16T10:22:27Z,Последний Спектакль Купили Все Билеты ТЦК Ловят Актеров Коля Едет Мытся,Твои Любимые Страсти,https://www.youtube.com/watch?v=34ElAFK2yPA,
тцк,2025-11-16T10:01:13Z,ЧИ МОЖУТЬ ТЦК І ПОЛІЦІЯ ЗАТРИМАТИ МЕНЕ?!,Legal Land,https://www.youtube.com/watch?v=k_9bLc_yh8k,"тцк, поліція, незаконне затримання, право на зйомку, розшук ухилянтів, незаконна мобілізація 1 факт = 1 норма: Ст.35 ..."
тцк,2025-11-16T09:45:19Z,ТЦК забрали всіх чоловіків із села. #тцк #політикаукраїни #юмор,POLUPRAVDA ,https://www.youtube.com/watch?v=d1cZqKPO7nQ,
тцк,2025-11-16T08:59:42Z,ГДЕ! ЛУЧШЕ  СПРЯТАТЬСЯ от ТЦК,Skorpion,https://www.youtube.com/watch?v=4PC0RW-A9D0,"Тут я попробую россказать,где лучше спрятатьса от тцк ,И почему мужчины в украине винуждени ховатьса, здесь мы ..."
тцк,2025-11-16T08:58:34Z,Чи повинні ТЦК воювати? Якщо так то переходьте за посиланням в описі!#мобілізація #петиція #новини,Insider.UA24,https://www.youtube.com/watch?v=_qOB5DW__8c,
тцк,2025-11-16T07:30:03Z,КАТАСТРОФА ЗЕЛЕНСКОГО // ДАЖЕ ТЦК ПРОТИВ ВЛАСТИ // УЖАСНАЯ ЗИМА ДЛЯ УКРАИНЦЕВ,Европа для украинцев,https://www.youtube.com/watch?v=5T1Glg0z2bM,"Мой второй канал про науку, плоскую Землю и американцев на Луне ..."
тцк,2025-11-16T06:36:39Z,Як знятися з розшуку варіанти та поради  #lnk,ЮРКОНСАЛТ - Адвокат Києв | Запоріжжя,https://www.youtube.com/watch?v=hKs4yuT9uAY,Як знятися з розшуку: варіанти та поради Шукаєш як зняти розшук? Дізнайся про варіанти про уникнення штрафів та ...
тцк,2025-11-16T06:30:27Z,ШТУРМ ОДЕССЫ! ПРИКАЗ ВЗЯТЬ ОДЕССУ! ТЦК РАЗНОСЯТ ВСЕ! ЧТО С ОДЕССОЙ!?!,NEMO,https://www.youtube.com/watch?v=LtyRDyfKXQs,
тцк,2025-11-16T06:25:00Z,ТЦК БОЇТЬСЯ КАМЕРИ ТА ПРЯМИХ ЗАПИТАНЬ!!!,НОВИНИ УКРАЇНИ ТА СВІТУ ,https://www.youtube.com/watch?v=sn2JhxOdw1I,
тцк,2025-11-16T04:38:06Z,«Ничего необычного». Слова ТЦК про смерть мобилизованного,Свідки бусифікації,https://www.youtube.com/watch?v=eFI_lBy3WKw,
тцк,2025-11-15T19:08:45Z,"Як в Україні заробити перший міліон під час війни #тцк #політикаукраїни #, юмор",POLUPRAVDA ,https://www.youtube.com/watch?v=olPDlgjxO5s,
тцк,2025-11-15T19:05:00Z,Веном проти ТЦК: “Я волонтер.”,AI Industry,https://www.youtube.com/watch?v=KK0QcxGCtNs,"Веном проти ТЦК: “Я волонтер.” Фотореалістична сценка: один тцкашник падає від страху, другий завмирає, а Веном ..."
тцк,2025-11-15T19:00:06Z,Як Анджеліна ДЖОЛІ опинилася у ТЦК,Історичний канал,https://www.youtube.com/watch?v=IvGs8ERjK2s,"Анжеліна Джолі приїхала до Херсона, щоб підтримати українців — і потрапила в скандал, який поставив країну у незручне ..."
тцк,2025-11-15T18:28:08Z,Як сховатись від ТЦК!?,Василь Олійник,https://www.youtube.com/watch?v=oB8LRPbKKw0,
тцк,2025-11-15T15:40:45Z,БЕСПРЕДЕЛ ТЦК В ДНЕПРЕ !!! МИР ДО  НОВОГО ГОДА !!!,Алексей Сидоров мнение.,https://www.youtube.com/watch?v=5Ha2LvOxoSQ,БЕСПРЕДЕЛ ТЦК В ДНЕПРЕ !!! МИР ДО НОВОГО ГОДА !!!
тцк,2025-11-15T15:18:00Z,"ВІЙСЬКОВОЗОБОВЯЗАНІ, ЯК ВИ ВИЖИВАЄТЕ? | Частина 1 #бусифікація #тцк #військовийоблік", ГУСЬ ПАТРОН 🇺🇦,https://www.youtube.com/watch?v=XJTzj-EqxvQ,"бусифікація #тцк #військовийоблік ВІЙСЬКОВОЗОБОВЯЗАНІ, ЯК ВИ ВИЖИВАЄТЕ? Частина 1 Частина 2: ..."
тцк,2025-11-15T15:01:18Z,💥СВАВІЛЛЯ! ТЦК+ПОЛІЦІЯ 🚷 ЛІЗУТЬ У ПРИВАТНИЙ ГАРАЖ❗Мобілізація в Україні,Пильний Дніпрянин,https://www.youtube.com/watch?v=d-lCkrLE2as,СВАВІЛЛЯ! ТЦК+ПОЛІЦІЯ ЛІЗУТЬ У ПРИВАТНИЙ ГАРАЖ❗Мобілізація в Україні https://youtu.be/d-lCkrLE2as ...
тцк,2025-11-15T14:33:03Z,"Єновина!ТЦК забрали чоловіка , а собаку кинули? #влада #політика #інформація",Блог Разумовського,https://www.youtube.com/watch?v=CoaemokQfUM,
тцк,2025-11-15T14:12:45Z,Буряты с автоматом залезли в дом !!! |Массовый беспредел ТЦК !!!,Arthur [FreeMan],https://www.youtube.com/watch?v=CIfq0p1vR3w,тцк #войнавукраине #мобилизация #армия #зсу #военные Крипта : BTC-15eQcvpuaspuZwUZ1dZn8CCep2kV1WDEVP USDT ...
побег через границу Украина,2025-11-15T13:45:03Z,"💥НА ГРАНИЦЕ ОТСТРЕЛ! Страна СТРАХА, ЛЖИ и ДОНОСОВ! Макс Рудада: людей ЗАПУГАЛИ! Нож ТЦК. Раны Одессы",Александр ШЕЛЕСТ,https://www.youtube.com/watch?v=AggnHEYNNSk,ПОДПИШИТЕСЬ НА МОЙ ТЕЛЕГРАМ: https://t.me/shelestlive 🎙️ Интервью с @MaxRydadaa Телеграм-канал Макса: ...
тцк,2025-11-15T13:17:41Z,БЕСПРЕДЕЛ ТЦК🔥ДНЕПР ВЗРЫВЫ🔥ВСЕ НА ВОЙНУ🔥,dmpro,https://www.youtube.com/watch?v=oGOwu0YuUbc,ВСЕМ ДОБРЫЙ ВЕЧЕР ХОРОШЕГО ВЕЧЕРА И НАСТРОЕНИЯ СПАСИБО ЗА ПОМОЩЬ КАРТА : 4400 0055 5351 ...
тцк,2025-11-15T13:00:38Z,"ТЦК переходить в наступ, потужні заяви лідерів та інші новини",vibroplus,https://www.youtube.com/watch?v=R1o_A5DLuNw,"5351 1606 0041 6875 - підтримати автора донатом та його місії, всі стріми проводяться в Тік ток ..."
тцк,2025-11-15T12:13:30Z,Пастка ЦНАП у ТЦК #цнап #тцк #мобілізація #відстрочка #адвокатнеклеса #неклеса,Адвокат Неклеса,https://www.youtube.com/watch?v=zHgimQHOiT8,
тцк,2025-11-15T12:00:39Z,🤷🏼Дружина Начальника ТЦК БЕРЕ УЧАСТЬ У МОБІЛІЗАЦІЇ❗РЕПОСТ,Пильний Дніпрянин,https://www.youtube.com/watch?v=IBdBhzrALBk,PoliceofDnipro Дружина Начальника ТЦК БЕРЕ УЧАСТЬ У МОБІЛІЗАЦІЇ❗РЕПОСТ ...
тцк,2025-11-16T10:27:32Z,“Це війна. І кожен має це усвідомити.”,Волинський ОТЦК та СП,https://www.youtube.com/watch?v=lAKfYp34fJI,"У короткому зверненні Олексій Сударєв, старший інспектор відділення рекрутингу та комплектування, ділиться особистою ..."
тцк,2025-11-16T10:12:00Z,"«ТЦК не підходять з метою, щоб на них накричали». З чого починаються конфлікти?",Зміст,https://www.youtube.com/watch?v=Y0j1DZdVCWk,
тцк,2025-11-16T09:05:22Z,KrokZvidty #гумор#тцк #україна,KrokZvidty,https://www.youtube.com/watch?v=TDULo7VNmsU,гумор #тцк #україна #втеча #повістка #пес.
тцк,2025-11-16T09:02:04Z,"ПОКРОВСЬК,  СЛАВА ЗАХИСНИКАМ! #зсу #новини #війна #тсн #тцк",НОВИННИЙ РАДАР. НОВИНИ УКРАЇНИ ТА СВІТУ,https://www.youtube.com/watch?v=JawXifRj7R4,БІЛЬШЕ ІНФОРМАЦІЇ В НАШОМУ ТЕЛЕГРАМ-КАНАЛІ. ПІДТРИМАЙТЕ ПІДПИСКОЮ!
тцк,2025-11-16T08:59:12Z,Херсон при украинской власти #зсу #україна #херсон #сво #тцк,Свободное мнение,https://www.youtube.com/watch?v=Z2HxS0IT8b8,
тцк,2025-11-16T08:52:38Z,воюємо далі? #украина #рекомендации #война #тцк #политика #зеленский #зсу #полиция #новости #тцктасп,Узаконенный абсурд ,https://www.youtube.com/watch?v=NVc0vC61DFI,
тцк,2025-11-16T08:30:08Z,"Переплыть Тису, убегая от ТЦК. Везение Макса Рудады",Юлия Кремлёва,https://www.youtube.com/watch?v=EwQ5owfK7ZE,Поддержать/спонсировать мой канал: сбер 2202 2084 1960 2959 / PayPal gmjus19@gmail.com / Ю-money ...
тцк,2025-11-16T08:27:48Z,#сказки городских джунглей #харьков в ролях: #тцк #полиция #ухилянти,egoisT,https://www.youtube.com/watch?v=-tp9-GNE_so,
тцк,2025-11-16T07:30:59Z,Я не стати мобілізованим через ТЦК,В гостях у Єгеря!,https://www.youtube.com/watch?v=xs8RzSMEyfc,Закрита спільнота Unfair Advantage: https://www.patreon.com/unfairadvantage777 Консультації та знижки в Прапорщику: ...
тцк,2025-11-16T07:29:09Z,Перевищення повноважень. Конфронтація ТЦК і людей,В гостях у Єгеря!,https://www.youtube.com/watch?v=n-heH4Fko2E,Закрита спільнота Unfair Advantage: https://www.patreon.com/unfairadvantage777 Консультації та знижки в Прапорщику: ...
тцк,2025-11-16T07:28:22Z,Як законно протидіяти ТЦК,В гостях у Єгеря!,https://www.youtube.com/watch?v=14oCmnW_GBE,Закрита спільнота Unfair Advantage: https://www.patreon.com/unfairadvantage777 Консультації та знижки в Прапорщику: ...
тцк,2025-11-16T07:00:48Z,И там и тут нет спокойствия. Владимир Белошенко 42 омбр. #війна #тцк #життя #зсу #ухилянти #война,ФРОНТСТОРИЗ,https://www.youtube.com/watch?v=xAY9d714brU,
тцк,2025-11-16T06:48:32Z,#онлайн #роботавдома #заробітоквінтернеті #бізнесукраїна #війнавукраїні2025 #славазсу #біженці #тцк,Контент Хата Сергія Іванчука,https://www.youtube.com/watch?v=BA7W3Hgryr0,
тцк,2025-11-16T06:42:20Z,#роботаонлайн #заробітоконлайн #навчанняонлайн #бізнес #фріланс #безпека #заробіток #українці #тцк,Іванчук Сергій,https://www.youtube.com/watch?v=DRfTV3a84DA,
тцк,2025-11-16T02:48:10Z,4 вищих освіти vs  3 класи  Хто керує ТЦК,Олександр Красовіцький юрист ,https://www.youtube.com/watch?v=jo7ugpQC9So,"Станьте спонсором канала, и вы получите доступ к эксклюзивным бонусам. Подробнее: ..."
тцк,2025-11-16T02:46:19Z,Шокуюча правда про мобілізацію  як ТЦК підриває віру у перемогу,Олександр Красовіцький юрист ,https://www.youtube.com/watch?v=5jpTr3YCE_0,"Станьте спонсором канала, и вы получите доступ к эксклюзивным бонусам. Подробнее: ..."
тцк,2025-11-16T01:49:19Z,ТЦК: Вдалий день.,AI Industry,https://www.youtube.com/watch?v=cASZyQbjDxE,"ТЦК: Вдалий день. Двоє тцкашників сидять у машині... Абсурд, сатира і фотореалізм. Created by AI_Industry. Powered by AI."
тцк,2025-11-15T21:08:41Z,#тцк #новини,Посилання на повне відео в описі профілю,https://www.youtube.com/watch?v=EQDJRFctbPw,
тцк,2025-11-15T21:07:49Z,#тцк #новини,Посилання на повне відео в описі профілю,https://www.youtube.com/watch?v=fJvvGl-sF1Q,
тцк,2025-11-15T19:36:51Z,❗️ТЦК ПЕРЕДАЄ ШТРАФ У ВИКОНАВЧУ? ЦЕ НЕЗАКОННО!❗️,ПРАВОВА ПОЗИЦІЯ ,https://www.youtube.com/watch?v=-wCBlTPgbtI,Записатись на безкоштовну консультацію і отримати відповідь на Ваше питання можна за інформацією нижче: ...
тцк,2025-11-15T19:21:25Z,KrokZvidty #гумор#тцк #україна,KrokZvidty,https://www.youtube.com/watch?v=hztS0QZmpfQ,гумор #тцк #україна #втеча #пес #кіт.
тцк,2025-11-15T19:10:03Z,2 Часть похищение в ТЦК бусик Majestic RP,Lonelyy?🤡,https://www.youtube.com/watch?v=j9X_x-79xOQ,
тцк,2025-11-15T19:00:10Z,ПОЛІЦІЯ І ТЦК ЗУПИНИЛИ МЕНЕ! ЩО РОБИТИ?!,Legal Land,https://www.youtube.com/watch?v=41BPthJX8pk,"тцк, поліція, перевірка документів, право на зйомку, військово-облікові документи, незаконне затримання ❗️ Якщо поліція ..."
тцк,2025-11-15T18:01:10Z,ТЦК: судний день #shorts  #funny #ржакадосліз #гумор,Сміхундель,https://www.youtube.com/watch?v=ymP1ZcuVnyA,"Війна закінчилася... але не для всіх! Як виглядає ""пожиттєва волонтерська робота""? Дивіться нову пародію від ..."
тцк,2025-11-15T17:29:37Z,Кожні 2 хвилини #сзч #україна #мобілізація #тцк,Юрист-Одеса / Максим Тимурович,https://www.youtube.com/watch?v=RDlNRKRyoMQ,
тцк,2025-11-15T17:06:32Z,Пробув “поза терміном” за кордоном= кримінал - за ґрати! 😮#виїздзакордон #мобілізація #тцк,"Наказ - адвокат, податки, міграційне",https://www.youtube.com/watch?v=aUEqVlnLxV8,
тцк,2025-11-15T17:00:34Z,МЕНЕ ЗУПИНИЛИ ПОЛІЦІЯ І ТЦК: ЩО РОБИТИ?!,Legal Land,https://www.youtube.com/watch?v=I_w7y3GhKp4,"тцк, поліція, незаконне затримання, право на зйомку, розшук ухилянтів, незаконна мобілізація ❗️ Якщо поліція з ТЦК ..."
тцк,2025-11-15T16:06:17Z,не ведіться на справу міндича! #украина #корупция #корупція_інфо #зеленский #тцк #политика #война,Узаконенный абсурд ,https://www.youtube.com/watch?v=lBFKVkloyEA,
